Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,1,Strolz,Matthias,Mag. Dr.,1973,Abgeordneter zum Nationalrat,1230,Wien,\N,\N
NEOS,2,Griss,Irmgard,Dr.,1946,Juristin,1010,Wien,6,6A
NEOS,3,Meinl-Reisinger,Beate,"Mag., MES",1978,Juristin,1090,Wien,9,9G
NEOS,4,Loacker,Gerald,Mag.,1973,Jurist,6850,Dornbirn,8,8A
NEOS,5,Schellhorn,Josef,\N,1967,Unternehmer,5622,Goldegg,5,5C
NEOS,6,Gamon,Claudia,\N,1988,Abgeordnete zum Nationalrat,1200,Wien,9,9D
NEOS,7,Hoyos-Trauttmansdorff,Douglas,\N,1990,Angestellter,3564,Plank am Kamp,3,3B
NEOS,8,Bernhard,Michael,\N,1981,Unternehmer,1090,Wien,9,9B
NEOS,9,Doppelbauer,Karin,Dipl.-Ing.,1975,Angestellte,1070,Wien,4,4C
NEOS,10,Hager-Hämmerle,Doris,Mag.,1970,Geschäftsführerin,6952,Hittisau,8,8A
NEOS,11,Margreiter,Johannes,Dr.,1958,Rechtsanwalt,6060,Hall,7,7B
NEOS,12,Raab,Judith,"Mag., MBA",1968,Accountmanagerin,4060,Leonding,4,4A
NEOS,13,Krisper,Stephanie,Dr.,1980,Wissenschaftliche Mitarbeiterin,1020,Wien,9,9C
NEOS,14,Haselmayer,Christoph,\N,1982,Unternehmer,1080,Wien,2,2A
NEOS,15,Scherak,Nikolaus,Dr.,1986,Abgeordneter zum Nationalrat,2522,Oberwaltersdorf,3,3F
NEOS,16,Lerchner,Lukas,\N,1986,Angestellter,8010,Graz,6,6A
NEOS,17,Oberhofer,Dominik,\N,1980,Hotelier,6165,Telfes im Stubai,7,\N
NEOS,18,Madler,Thomas,\N,1982,Angestellter,4481,Asten,4,4A
NEOS,19,Dorn,Sabrina,Dr.,1984,Unternehmer,6060,Hall in Tirol,7,7B
