Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
ÖVP,1,Kurz,Sebastian,\N,1986,Bundesminister,1120,Wien,\N,\N
ÖVP,2,Köstinger,Elisabeth,\N,1978,Mitglied des Europäischen Parlaments,9470,St. Paul,2,\N
ÖVP,3,Moser,Josef,Dr.,1955,Jurist,1050,Wien,\N,\N
ÖVP,4,Schwarz,Gabriela,\N,1962,Journalistin,7000,Eisenstadt,1,\N
ÖVP,5,Dönmez,Efgani,PMM,1976,Selbstständiger,4020,Linz,4,\N
ÖVP,6,Großbauer,Maria,\N,1980,Selbstständig,1040,Wien,\N,\N
ÖVP,7,Taschner,Rudolf,Mag. Dr.,1953,A.o. Universitätsprofessor,1060,Wien,\N,\N
ÖVP,8,Graf,Tanja,\N,1975,Unternehmerin,5400,Hallein,5,5B
ÖVP,9,Mahrer,Karl,\N,1955,Polizeibeamter,2380,Perchtoldsdorf,9,\N
ÖVP,10,Grünberg,Kira,\N,1993,Angestellte,6175,Kematen,7,\N
ÖVP,11,Engelberg,Martin,Mag.,1960,Psychoanalytiker,1010,Wien,9,\N
ÖVP,12,Bogner-Strauß,Juliane,Mag. Dr.,1971,Professorin,8046,Graz,6,\N
ÖVP,13,Rosenberger,Alois,Dipl.-Ing.,1960,Direktor,3312,Oed,\N,\N
ÖVP,14,Ess,Martina,Mag.,1980,"Moderatorin, Trainerin",6822,Satteins,8,8B
ÖVP,15,Saxinger,Werner,Dr.,1966,Arzt,4020,Linz,4,\N
ÖVP,16,Steinlechner,Petra,MMag.,1971,BHS-Lehrerin,2443,Leithaprodersdorf,\N,1A
ÖVP,17,Herz,Andreas,MSc.,1967,Selbstständig,8561,Söding-St. Johann,6,6C
ÖVP,18,Eisenhuber,Monika,\N,1970,Unternehmerin,2880,Kirchberg am Wechsel,3,3E
ÖVP,19,Hager,Andreas,Ing.,1970,Tischlermeister,2214,Auersthal,3,3G
ÖVP,20,Schütz,Renate,Mag.,1950,Soziologin,4040,Linz,4,4A
ÖVP,21,Werner,Florian Rudolf,\N,1966,Hotelier,6580,St. Anton am Arlberg,\N,\N
ÖVP,22,Wagner,Andrea,\N,1975,Bäuerin,3911,Rappottenstein,\N,\N
ÖVP,23,Riegler,Nikolaus,\N,1980,Geschäftsführer,9322,Micheldorf,2,\N
ÖVP,24,Rexhepi,Heroina,\N,1983,"Mediendesignerin, Unternehmerin",4600,Wels,\N,\N
ÖVP,25,Laufer,Günther,Dr.,1958,Arzt,1190,Wien,\N,\N
ÖVP,26,Penz,Johanna,\N,1957,Messeveranstalterin,6020,Innsbruck,\N,\N
ÖVP,27,Kornhäusl,Karlheinz Manuel,Dr.,1982,Arzt,8010,Graz,6,6A
ÖVP,28,Bitschnau,Ulrike,\N,1961,Kaufmännische Angestellte,6773,Vandans,8,8B
ÖVP,29,Gugumuck,Andreas Réne,Mag.,1974,"Landwirt, Feinkostunternehmer",1100,Wien,\N,\N
ÖVP,30,Stieder-Zebedin,Patricia,\N,1971,Selbstständig,8044,Graz,6,6A
ÖVP,31,Larch,Jakob Anton,\N,1964,Gastronom,6236,Alpbach,\N,\N
ÖVP,32,Deutsch,Irene,\N,1961,Selbstständig,8380,Jennersdorf,1,1B
ÖVP,33,Hirschbrich,Michael Rüdiger,"Mag., MBA",1974,Unternehmer,4690,Schwanenstadt,\N,\N
ÖVP,34,Salzmann,Gertraud,MMMag.,1964,Pädagogin,5760,Saalfelden,5,5C
ÖVP,35,Zinner,Gerhard,Ing.,1958,Geschäftsführer,3914,Waldhausen,\N,\N
ÖVP,36,Forsthuber,Karin,\N,1957,Pensionistin,9422,Maria Rojach,\N,2D
ÖVP,37,Kitzberger,Markus,\N,1979,Polizeibeamter,4863,Seewalchen am Attersee,4,\N
