Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
EUAUS,1,Marschall,Robert,Mag.,1966,"Selbstständig, Geschäftsführer",3003,Gablitz,9,9B
EUAUS,2,Pichler-Geritz,Alexandra Katharina,\N,1966,"Selbstständig, Einzelunternehmerin",2851,Krumbach,\N,\N
EUAUS,3,Weiglhofer,Bernd,\N,1959,Angestellter,5020,Salzburg,\N,\N
EUAUS,4,Serov,Andrei,\N,1970,Arbeitslos,2486,Pottendorf,9,9F
EUAUS,5,Pelikan,Wolfgang Wilhelm,\N,1947,Beamter,7000,Eisenstadt,\N,\N
EUAUS,6,Lemberger,Klaus,Dr.,1952,Pensionist,5280,Braunau,\N,\N
EUAUS,7,Wieser,Josef,Mag.,1969,Angestellter,1150,Wien,9,9E
EUAUS,8,Gierlinger,Julia,Mag.,1978,Selbstständige Psychologin,1160,Wien,9,9F
EUAUS,9,Haider,Werner,Mag. (FH),1979,Videojournalist,1100,Wien,9,9D
EUAUS,10,Wagner,Dirk-Ingolf,BA MSc MSc,1966,Wirtschaftstrainer,1210,Wien,9,9C
EUAUS,11,Böhm,Thomas,\N,1993,Student,4121,Altenfelden,\N,\N
EUAUS,12,Schmidt-Simonsky,Patricia,\N,1963,Arbeitslos,1210,Wien,9,9G
EUAUS,13,Wolz,Gerlinde,\N,1955,Pensionistin,1110,Wien,9,9D
EUAUS,14,Peirlberger,Franz Karl,\N,1956,Pensionist,4211,Alberndorf,\N,\N
EUAUS,15,Nöhammer,Franz,\N,1953,Pensionist,4040,Linz,\N,\N
EUAUS,16,Hartl,Georg,\N,1966,Selbstständig,1050,Wien,9,9A
