Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
FPÖ,1,Strache,Heinz-Christian,\N,1969,"Klubobmann, Abgeordneter zum Nationalrat",1030,Wien,9,9D
FPÖ,2,Hofer,Norbert,Ing.,1971,3. Präsident des Nationalrates,7423,Pinkafeld,1,1B
FPÖ,3,Kickl,Herbert,\N,1968,Abgeordneter zum Nationalrat,3002,Purkersdorf,3,\N
FPÖ,4,Svazek,Marlene,BA,1992,Angestellte,5084,Grossgmain,5,5B
FPÖ,5,Stefan,Harald,Mag.,1965,Notar,1050,Wien,9,9D
FPÖ,6,Belakowitsch,Dagmar,Dr.,1968,Abgeordnete zum Nationalrat,1060,Wien,9,9F
FPÖ,7,Fürst,Susanne,Mag.,1969,Rechtsanwältin,4040,Linz,\N,\N
FPÖ,8,Lugar,Robert,Ing.,1970,Abgeordneter zum Nationalrat,2380,Perchtoldsdorf,3,\N
FPÖ,9,Krauss,Maximilian,\N,1993,Angestellter,1010,Wien,9,9C
FPÖ,10,Schimanek,Carmen,\N,1965,Controllerin,6300,Wörgl,7,7C
FPÖ,11,Vilimsky,Harald,\N,1966,Mitglied des Europäischen Parlaments,1030,Wien,9,\N
FPÖ,12,Kitzmüller,Anneliese,\N,1959,Hausfrau,4202,Kirchschlag bei Linz,4,4E
FPÖ,13,Mölzer,Wendelin,\N,1980,Journalist,9500,Villach,2,2B
FPÖ,14,Mühlberghuber,Edith,\N,1964,Abgeordnete zum Nationalrat,4431,Haidershofen,3,3C
FPÖ,15,Neubauer,Werner,BA,1956,Landesbediensteter,4020,Linz,4,4A
FPÖ,16,Steger,Petra,\N,1987,Abgeordnete zum Nationalrat,1080,Wien,9,9F
FPÖ,17,Nemeth,Norbert,Mag.,1969,Beamter,4864,Attersee am Attersee,\N,\N
FPÖ,18,Wagner,Petra,\N,1968,Unternehmerin,7571,Rudersdorf,1,1B
FPÖ,19,Mühlwerth,Monika,\N,1954,Mitglied des Bundesrates,1070,Wien,9,9B
FPÖ,20,Rosenkranz,Walter,Dr.,1962,Rechtsanwalt,3500,Krems,3,3B
FPÖ,21,Klinger,Wolfgang,Ing.,1959,Transportunternehmer,4673,Gaspoltshofen,4,4C
FPÖ,22,Amesbauer,Hannes,BA,1981,Vertragsbediensteter,8692,Neuberg an der Mürz,6,6D
FPÖ,23,Angerer,Erwin,\N,1964,Techniker,9814,Mühldorf,2,2C
FPÖ,24,Wurm,Peter,\N,1965,Unternehmer,6068,Mils,7,7B
FPÖ,25,Bösch,Reinhard E.,Dr.,1957,Historiker,6850,Dornbirn,8,8A
FPÖ,26,Hafenecker,Christian,\N,1980,Abgeordneter zum Nationalrat,2572,Kaumberg,3,3D
FPÖ,27,Schartel,Andrea Michaela,\N,1964,Personalverrechnerin,8053,Graz,6,6A
FPÖ,28,Moitzi,Liane,\N,1992,Landtagsabgeordnete,8750,Judenburg,6,\N
FPÖ,29,Wassermann,Sandra,\N,1984,Gewerbetreibende,9020,Klagenfurt,2,2A
FPÖ,30,Dieringer-Granza,Elisabeth,Mag.,1974,Lehrerin,9580,Drobollach am Faakersee,2,2B
FPÖ,31,Wohlschlager,Sandra,\N,1976,Angestelle,4600,Wels,4,4C
FPÖ,32,Schweiger-Stenzel,Ursula,\N,1945,Stadträtin,1010,Wien,9,\N
FPÖ,33,Povisyl,Brigitte,Dr.,1954,Fachärztin für Radiologie,4020,Linz,4,4A
FPÖ,34,Krenn,Matthias,\N,1960,"Hotelier, Bürgermeister",9546,Bad Kleinkirchheim,\N,\N
FPÖ,35,Rabl,Andreas,Dr.,1972,Bürgermeister,4600,Wels,4,\N
FPÖ,36,Scheider,Christian Robert,\N,1964,Vizebürgermeister,9020,Klagenfurt,\N,\N
FPÖ,37,Deimek,Gerhard,Dipl.-Ing.,1963,Selbstständig,4540,Pfarrkirchen bei Bad Hall,4,4D
FPÖ,38,Kumpitsch,Günther,Mag.,1960,Polizeijurist,8561,Hitzendorf,6,6A
FPÖ,39,Höbart,Christian,Ing.,1975,Unternehmer,2353,Guntramsdorf,3,3F
FPÖ,40,Gudenus,Johann,\N,1976,Vizebürgermeister,1190,Wien,9,9A
FPÖ,41,Luisser,Christoph,Mag. Dr.,1976,Jurist,2362,Biedermannsdorf,3,\N
FPÖ,42,Ries,Christian,\N,1972,Kriminalbeamter,7071,Rust,1,1A
