Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
PILZ,1,Pilz,Peter,Dr.,1954,Abgeordneter zum Nationalrat,1220,Wien,6,6A
PILZ,2,Cox,Stephanie,\N,1989,Unternehmerin,3463,Stetteldorf am Wagram,9,9B
PILZ,3,Noll,Alfred,Dr.,1960,"Universitätsprofessor, Rechtsanwalt",1070,Wien,3,\N
PILZ,4,Holzinger-Vogtenhuber,Daniela,BA,1987,Abgeordnete zum Nationalrat,4851,Gampern,4,4C
PILZ,5,Rossmann,Bruno,Mag.,1952,Abgeordneter zum Nationalrat,1150,Wien,2,2A
PILZ,6,Zadi?,Alma,\N,1984,Rechtsanwältin,1060,Wien,9,9A
PILZ,7,Bohrn Mena,Sebastian,Mag. (FH) Dr.,1985,Volksbildner,1010,Wien,9,9D
PILZ,8,Schroeder,Renée,Dr.,1953,"Universitätsprofessorin, Biochemikerin",1010,Wien,5,5B
PILZ,9,Werthner,Hannes,Dipl.-Ing. Dr.,1954,"Universitätsprofesssor, Informatiker",1020,Wien,1,1B
PILZ,10,Stern,Maria,\N,1972,Lehrerin,1090,Wien,3,3F
PILZ,11,Dimmel,Nikolaus,DDr.,1959,"Universitätsprofesssor, Jurist",5020,Salzburg,5,5A
PILZ,12,Roscher,Teresa,\N,1989,Pflegerin,1130,Wien,9,9E
PILZ,13,Berg,Airan,\N,1961,Regisseur,3400,Klosterneuburg,9,9C
PILZ,14,Emmer,Herta,Mag. (FH),1969,Unternehmerin,7453,Steinberg-Dörfl,1,1B
PILZ,15,Beclin,Barbara,Dr.,1968,"Universitätsprofesssor, Juristin",1080,Wien,9,9B
PILZ,16,Gaupmann,Sandra,Mag.,1972,Psychologin,3430,Tulln an der Donau,3,3D
PILZ,17,Rihs,Johann,\N,1961,Techniker,7091,Breitenbrunn am Neusiedler See,1,1A
PILZ,18,Kronberger,Silvia,Mag. Dr.,1954,Soziologin,5020,Salzburg,5,5C
PILZ,19,Langer,Martin,Dr.,1954,"Universitätsprofesssor, Mediziner",1090,Wien,9,9E
PILZ,20,Gallistl,Clara,\N,1988,Kulturmanagerin,1080,Wien,4,4E
PILZ,21,Kramar,Hubert,\N,1948,Schauspieler,1150,Wien,3,3C
PILZ,22,Raffinger,Elvira Charlotte,\N,1957,Pflegerin,1090,Wien,3,\N
PILZ,23,Mayer,Franz,\N,1964,Tischler,1050,Wien,9,9G
PILZ,24,Varga,Ulrike,\N,1967,Juristin,1100,Wien,9,9D
PILZ,25,Papula,Lukas,\N,1986,Ökonom,4048,Puchenau,4,4A
PILZ,26,Bissmann,Martha,\N,1980,Projektmanagerin,8020,Graz,6,6A
